,index,WD,SvenskaAkademin,wdReplace,wdReplaceBy,wdStart,wdEnd,wdOrdinal,chairOrder,SvChair,SvStart,SvEnd,wdEndDate,orderNumber,replacedByWD,newWDChair,replaceWD
76,95,Q5755165,gellerstedt-albert,Q5755165,Q5755165,1901-12-20,1914-04-07 00:00:00+00:00,7,7,7,1901-12-20,1914-04-07,1914-04-07,7,Q44519,Q96600329,Q6092488
77,172,Q44519,lagerlof-selma,Q44519,Q44519,1914-12-20,1940-03-16 00:00:00+00:00,8,7,7,1914-12-20,1940-03-16,1940-03-16,8,Q291194,Q96600329,Q5755165
78,19,Q291194,gullberg-hjalmar,Q291194,Q291194,1940-12-20,1961-07-19 00:00:00+00:00,9,7,7,1940-12-20,1961-07-19,1961-07-19,9,Q5758618,Q96600329,Q44519
79,97,Q5758618,gierow-karl-ragnar,Q5758618,Q5758618,1961-12-20,1982-10-30 00:00:00+00:00,10,7,7,1961-12-20,1982-10-30,1982-10-30,10,Q5758618,Q96600329,Q291194
80,98,Q5758618,gierow-karl-ragnar,Q5758618,Q5758618,1964-01-01,1977-01-01 00:00:00+00:00,12,,7,1961-12-20,1982-10-30,1977-01-01,11,Q1345556,Q96600329,Q5758618
81,199,Q1345556,ahnlund-knut,Q1345556,Q1345556,1983-12-20,2012-11-28 00:00:00+00:00,11,7,7,1983-12-20,2012-11-28,2012-11-28,12,Q4944209,Q96600329,Q5758618
82,76,Q4944209,danius-sara,Q4944209,Q4944209,2015-01-01,2018-04-12 00:00:00+00:00,17,,7,2013-12-20,2019-02-26,2018-04-12,13,Q4944209,Q96600329,Q1345556
83,77,Q4944209,danius-sara,Q4944209,Q4944209,2013-12-20,2019-02-26 00:00:00+00:00,12,7,7,2013-12-20,2019-02-26,2019-02-26,14,Q42393941,Q96600329,Q4944209
84,141,Q42393941,wikforss-asa,Q42393941,Q42393941,2019-12-20,,13,7,7,2019-12-20,,,15,,Q96600329,Q4944209
85,208,Q1613210,oxenstierna-johan-gabriel,Q1613210,Q1613210,1786-04-05,1818-07-29 00:00:00+00:00,1,8,8,1786-04-05,1818-07-29,1818-07-29,1,Q366765,Q96600338,
86,35,Q366765,tegner-esaias,Q366765,Q366765,1819-06-22,1846-11-02 00:00:00+00:00,2,8,8,1819-06-22,1846-11-02,1846-11-02,2,Q4992736,Q96600338,Q1613210
87,81,Q4992736,bottiger-carl-wilhelm,Q4992736,Q4992736,1847-12-18,1878-12-22 00:00:00+00:00,3,8,8,1847-12-18,1878-12-22,1878-12-22,3,Q47088,Q96600338,Q366765
88,174,Q47088,wirsen-carl-david-af,Q47088,Q47088,1879-12-20,1912-06-12 00:00:00+00:00,4,8,8,1879-12-20,1912-06-12,1912-06-12,4,Q47088,Q96600338,Q4992736
89,175,Q47088,wirsen-carl-david-af,Q47088,Q47088,1884-01-01,1912-01-01 00:00:00+00:00,8,,8,1879-12-20,1912-06-12,1912-01-01,5,Q129173,Q96600338,Q47088
90,3,Q129173,heidenstam-verner-von,Q129173,Q129173,1912-12-20,1940-05-20 00:00:00+00:00,5,8,8,1912-12-20,1940-05-20,1940-05-20,6,Q93137,Q96600338,Q47088
91,0,Q93137,lagerkvist-par,Q93137,Q93137,1940-12-20,1974-07-11 00:00:00+00:00,6,8,8,1940-12-20,1974-07-11,1974-07-11,7,Q3075563,Q96600338,Q129173
92,164,Q3075563,sjostrand-osten,Q3075563,Q3075563,1975-12-20,2006-05-13 00:00:00+00:00,7,8,8,1975-12-20,2006-05-13,2006-05-13,8,Q194665,Q96600338,Q93137
93,12,Q194665,svenbro-jesper,Q194665,Q194665,2006-12-20,,8,8,8,2006-12-20,,,9,,Q96600338,Q3075563
94,166,Q3338577,adlerbeth-gudmund-goran,Q3338577,Q3338577,1786-04-05,1818-10-07 00:00:00+00:00,1,9,9,1786-04-05,1818-10-07,1818-10-07,1,Q1960724,Q96600350,
