,WikidataID,show,librisid,WD_Litteraturbanken,full_name,authorid,Littbank,LittbankJSON
2722,,True,mkz253055r2dghg,Litterturbanken_only,Carl Georg de Frese,FreseCG,<a href='https://litteraturbanken.se/f%C3%B6rfattare/FreseCG'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/FreseCG'>json</a>
2691,,True,mkz1x8053sd40jb,Litterturbanken_only,Constans Pontin,PontinC,<a href='https://litteraturbanken.se/f%C3%B6rfattare/PontinC'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/PontinC'>json</a>
2687,,True,zw9c759h1zr7wmv,Litterturbanken_only,Richard Lundeblom,LundeblomR,<a href='https://litteraturbanken.se/f%C3%B6rfattare/LundeblomR'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/LundeblomR'>json</a>
2720,,True,wt7bffwf4jhvk63,Litterturbanken_only,Martin Lindgren,LindgrenM,<a href='https://litteraturbanken.se/f%C3%B6rfattare/LindgrenM'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/LindgrenM'>json</a>
2683,,True,0xbdgb3j3jfph3m,Litterturbanken_only,Gustaf Bothén,BothénG,<a href='https://litteraturbanken.se/f%C3%B6rfattare/BothénG'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/BothénG'>json</a>
2682,,True,khwz16132rtn9kh,Litterturbanken_only,Charlotta Berndtson,BerndtsonC,<a href='https://litteraturbanken.se/f%C3%B6rfattare/BerndtsonC'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/BerndtsonC'>json</a>
2728,,True,nl036d565hxqmm8,Litterturbanken_only,Christian Adolph Palme,PalmeCA,<a href='https://litteraturbanken.se/f%C3%B6rfattare/PalmeCA'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/PalmeCA'>json</a>
2679,,True,khwz18m35936xj3,Litterturbanken_only,Joseph C. Blomgren,BlomgrenJC,<a href='https://litteraturbanken.se/f%C3%B6rfattare/BlomgrenJC'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/BlomgrenJC'>json</a>
2729,,True,64jlh2tq5djqwsp,Litterturbanken_only,Inga Schenfelt,SchenfeltI,<a href='https://litteraturbanken.se/f%C3%B6rfattare/SchenfeltI'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/SchenfeltI'>json</a>
2696,,True,mxwsqbkjk7c1kj62,Litterturbanken_only,Daniel Fredrik Bergman,BergmanDF,<a href='https://litteraturbanken.se/f%C3%B6rfattare/BergmanDF'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/BergmanDF'>json</a>
2715,,True,86lnjnvs5p6p074,Litterturbanken_only,Johan Engelbrekt Modin,ModinJE,<a href='https://litteraturbanken.se/f%C3%B6rfattare/ModinJE'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/ModinJE'>json</a>
2717,,True,b8nqs15v327fqmz,Litterturbanken_only,Henrik Germund Blumenberg,BlumenbergHG,<a href='https://litteraturbanken.se/f%C3%B6rfattare/BlumenbergHG'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/BlumenbergHG'>json</a>
