SBLnr,SBLlength,titel,Fodd,Dod,Band,Year
6937,37934,J A M Paul Rosenius,"Född:1865-03-12 – Domkyrkoförsamlingen i Göteborg, Västra Götalands län","Död:1957-07-05 – Malmö Sankt Petri församling, Skåne län","Band 30 (1998-2000), sida 550.",1998-2000
6938,27363,Holger F Rosenquist,"Född:1907-03-09 – Överluleå församling, Norrbottens län","Död:1992-01-30 – Hedvig Eleonora församling, Stockholms län","Band 30 (1998-2000), sida 552.",1998-2000
6939,36552,A Hugo Rosenqvist,"Född:1905-11-30 – Söderhamns församling, Gävleborgs län","Död:1991-12-24 – Engelbrekts församling, Stockholms län","Band 30 (1998-2000), sida 554.",1998-2000
6940,29866,Johannes Rosenrod,Född:1400-talet,Död:1400-talet,"Band 30 (1998-2000), sida 556.",1998-2000
6944,67320,"Nils Rosenstein, von","Född:1752-12-01 – Uppsala domkyrkoförsamling, Uppsala län","Död:1824-08-07 – Klara församling, Stockholms län","Band 30 (1998-2000), sida 439.",1998-2000
6945,30094,Henrik Rosenström,"Född:1624 – Nyköpings Alla Helgona församling, Södermanlands län","Död:1676-10-17 – Jakobs församling, Stockholms län","Band 30 (1998-2000), sida 557.",1998-2000
6946,31362,J Henrik Rosensvärd,Född:1816-10-13 – Frankrike (i S:t Barthélemy),"Död:1890-11-13 – Grums församling, Värmlands län","Band 30 (1998-2000), sida 559.",1998-2000
6947,49250,Alexander Roslin,"Född:1718-07-15 – Malmö Sankt Petri församling, Skåne län",Död:1793-07-05 – Frankrike (i Paris),"Band 30 (1998-2000), sida 561.",1998-2000
6949,25901,Karl G Rosling,"Född:1868-07-16 – Frösunda församling, Stockholms län","Död:1920-12-12 – Katarina församling, Stockholms län","Band 30 (1998-2000), sida 565.",1998-2000
6950,71457,Holger Rosman,"Född:1871-02-01 – Visby domkyrkoförsamling, Gotlands län","Död:1937-08-19 – Engelbrekts församling, Stockholms län","Band 30 (1998-2000), sida 566.",1998-2000
6951,38836,Carl A J Rossander,"Född:1875-05-02 – Jakobs församling, Stockholms län","Död:1927-07-15 – Engelbrekts församling, Stockholms län","Band 30 (1998-2000), sida 571.",1998-2000
6953,91957,Carl-Gustaf A Rossby,"Född:1898-12-28 – Adolf Fredriks församling, Stockholms län","Död:1957-08-19 – Gustav Vasa församling, Stockholms län","Band 30 (1998-2000), sida 573.",1998-2000
6954,40607,F Josef A Rossi,"Född:1774-04-26 – Stockholms katolska församling, Stockholms län","Död:1854-07-09 – Tyskland (i Schwerin, S:t Nikolai)","Band 30 (1998-2000), sida 580.",1998-2000
6956,32185,Göran (Georg) Rothman,"Född:1739-11-30 – Skatelövs församling, Kronobergs län","Död:1778-12-04 – Nikolai församling, Stockholms län","Band 30 (1998-2000), sida 587.",1998-2000
6957,38572,Jacob Gabriel Rothman,"Född:1721 – Växjö domkyrkoförsamling, Kronobergs län","Död:1772-06-27 – Nikolai församling, Stockholms län","Band 30 (1998-2000), sida 585.",1998-2000
6959,32154,Johan S Rothman,"Född:1684-02-24 – Växjö domkyrkoförsamling, Kronobergs län","Död:1763-07-20 – Växjö domkyrkoförsamling, Kronobergs län","Band 30 (1998-2000), sida 583.",1998-2000
6960,60897,Birger Fredrik Rothoff,"Född:1759-03-10 – Eskilstuna församling, Södermanlands län","Död:1831-05-03 – Fors församling, Södermanlands län","Band 30 (1998-2000), sida 594.",1998-2000
