skblid,wid,publishedDate,article_author_firstname,article_author_lastname,subtitle_sv,subtitle_eng,name_lastname,name_firstname
MariaOsberg,Q50512433,2018-03-08,Ulrika,Holgersson,"Sömmerska, facklig och politisk pionjär","Seamstress, pioneer of the union and political movements",Osberg,/Maria/ Augusta Charlotta
IngaThelander,Q50512452,2018-03-08,Sara,Kärrholm,Deckarförfattare,Crime writer,Thelander,/Inga/
EvaPineus,Q50598829,2018-03-08,Inger,Eriksson,"Kvinnosakskvinna, grundare av Kvinnohistoriskt arkiv","Promoter of women's issues, co-founder of Kvinnohistoriskt arkiv (KvinnSam)",Pineus,/Eva/ Hilda Cecilia
AnnaSarstrom,Q50680607,2018-03-08,Björn,Horgby,"Textilarbetare, facklig och kvinnopolitisk pionjär","Textile worker, pioneer in unionism and women's politics",Särström,/Anna/ Maria
ElisabethvonBahr,Q50804780,2018-03-08,Kerstin E,Wallin,"Filantrop, skolgrundare","Philanthropist, school founder",von Bahr,Maria /Elisabeth/
EstherLamm,Q50804820,2018-03-08,Ida,Ohlsson Al Fakir,"Psykiater, psykoanalytiker","Psychiatrist, psychoanalyst",Lamm,/Esther/
CeciliaFrancke,Q50804859,2018-03-08,Madeleine,Michaëlsson,"Rösträttskvinna, aktiv inom fredsrörelsen och nykterhetsrörelsen","Suffragette, took active part in the temperance and peace movements",Francke,Sissa /Cecilia/
MajBrittInghe,Q50804896,2018-03-08,Ida,Ohlsson Al Fakir,"Socionom, forskare, pionjär inom socialmedicinen","Trained social worker, researcher, pioneer in social medicin",Inghe,/Maj-Britt/
BarbroJansson,Q50804902,2018-03-08,Berith,Backlund,"Politiker, Göteborgs första kvinnliga kommunalråd","Politician, first female commissioner of Gothenburg municipal council",Jansson,/Barbro/
SylviaGibson,Q50841651,2018-03-08,Catharina,Nolin,"Landskapsarkitekt, skribent, lärare","Landscape gardener, writer, teacher",Gibson,/Sylvia/ Martina
KlaraLindh,Q50926751,2018-03-08,Hans,Lindblad,"Rösträttskvinna, redaktör","Suffragette, editor",Lindh,/Klara/ Augusta Bernhardina
SigridPosse,Q50938098,2018-03-08,Jöns,Posse,"Godsägare, filantrop","Property owner, philanthropist",Posse,/Sigrid/ Elisabeth Carolina
UllaJacobsson,Q24842,2018-03-08,Jennifer,Vintkvist,Skådespelare,Actor,Jacobsson,/Ulla/-Maj
Teresiaprinsessa,Q61911,2018-03-08,Ingegerd,Björklund,"Prinsessa av Sverige och Norge, kompositör","Princess of Sweden and Norway, composer",,"/Teresia/, prinsessa"
LauraMarholm,Q89768,2018-03-08,Christina,Sjöblad,"Författare, essäist","Author, essayist",Marholm,/Laura/ Katharina
HedvigEleonoradrottning,Q161322,2018-03-08,Merit,Laine,Drottning av Sverige,Queen of Sweden,,"/Hedvig Eleonora/, drottning"
AnnMariFalk,Q185743,2018-03-08,Birger,Hedén,"Författare, översättare, lektör","Author, translator, publisher's reader",Falk,/Ann Mari/
Desideriadrottning,Q211749,2018-03-08,Agneta,Ulfsäter Troell,Drottning av Sverige och Norge,Queen of Sweden and Norway,,"/Desideria/, drottning"
IngridThulin,Q233732,2018-03-08,Rikard,Loman,"Skådespelare, regissör","Actor, director",Thulin,/Ingrid/ Lilian
MaiZetterling,Q236656,2018-03-08,Mariah,Larsson,"Filmregissör, författare","Film director, author",Zetterling,/Mai/ Elisabet
KarinBoye,Q237413,2018-03-08,Gunilla,Domellöf,Författare,Author,Boye,/Karin/
AnneCharlotteLeffler,Q243068,2018-03-08,Monica,Lauritzen,Författare,Author,Leffler,Anna Charlotta (/Anne Charlotte/) Gustava
LenaNyman,Q255967,2018-03-08,Annika,Persson,Skådespelare,Actor,Nyman,Anna /Lena/ Elisabet
BirgittaTrotzig,Q259238,2018-03-08,Carin,Franzén,Författare,Author,Trotzig,Astri /Birgitta/
FredrikaBremer,Q262145,2018-03-08,Åsa,Arping,"Författare, kvinnosakskvinna, fredskämpe","Author, women's issues activist, pacifist",Bremer,/Fredrika/
ElisabethSoderstrom,Q269242,2018-03-08,Dag,Kyndel,"Operasångare, hovsångare","Opera singer, court singer",Söderström,Anna /Elisabeth/
SveaNoren,Q269804,2018-03-08,Lennart K,Persson,Konståkare,Figure skater,Norén,/Svea/ Placida Mariana
AnnaLindhagen,Q293284,2018-03-08,Irene,Andersson,"Politiker, rösträttskvinna","Politician, suffragette",Lindhagen,/Anna/ Jakobina Johanna
LeaAhlborn,Q434685,2018-03-08,Lisbeth,Larsson,Medaljgravör,Medal engraver,Ahlborn,/Lea/ Fredrika
ElisabethHesselblad,Q435384,2018-03-08,Yvonne Maria,Werner,"Ordensgrundare, helgon","Saint, founder of religious order",Hesselblad,Maria /Elisabeth/
GretaJohansson,Q455134,2018-03-08,Lennart K,Persson,Simhoppare,Diver,Johansson,Anna Teresia Margareta (/Greta/)
LinaSandellBerg,Q457339,2018-03-08,Anne,Brügge,"Psalmförfattare, redaktör, översättare","Hymn-writer, editor, translator",Sandell-Berg,Carolina (/Lina/) Wilhelmina
ElsaBeskow,Q466623,2018-03-08,Birger,Hedén,"Konstnär, författare, illustratör","Artist, author, illustrator",Beskow,/Elsa/
KarinSoder,Q468538,2018-03-08,Inger,Fredriksson,"Politiker, minister, Centerpartiets ordförande","Politician, government minister, chair of the Centre party",Söder,/Karin/ Ann-Marie
GunnelBeckman,Q521578,2018-03-08,Anna,Nordenstam,Författare,Author,Beckman,/Gunnel/ Märta Lisa
ElisabethAnrepNordin,Q988871,2018-03-08,Sara,Backman Prytz,"Dövpedagog, pionjär inom specialpedagogiken","Deaf teacher, pioneer of specialised teaching",Anrep-Nordin,/Elisabeth/
JaneGylling,Q1810898,2018-03-08,Lennart K,Persson,"Idrottare, simmare","Sportswoman, swimmer",Gylling,/Jane/ Hilda Charlotta
GerdaBoethius,Q4939762,2018-03-08,Lena,Boëthius,Professor i konstvetenskap,Professor of history of art,Boëthius,/Gerda/ Axelina Johanna
ElinBrandell,Q4940406,2018-03-08,Birgitta,Ney,"Journalist, kåsör, översättare","Journalist, columnist, translator",Brandell,/Elin/
FriggaCarlberg,Q4941831,2018-03-08,Maria,Sjöberg,"Socialarbetare, rösträttskvinna, författare","Social worker, suffragette, author",Carlberg,Anna Fredrika (/Frigga/)
AnnaCasparsson,Q4942160,2018-03-08,Lena,Boëthius,Textilkonstnär,Textile artist,Casparsson,/Anna/ Charlotta Sofia
JulieEkerman,Q4945650,2018-03-08,Tilda Maria,Forselius,"Grevlig mätress, påstådd spion","Mistress, suspected of being a spy",Ekerman,Catharina Juliana (/Julie/)
EbbavonEckermann,Q4945651,2018-03-08,Ann-Marie,Petersson,"Politiker, rösträttskvinna, lobbyist","Politician, suffragette, lobbyist",von Eckermann,/Ebba/ Johanna Cecilia
LauraFitinghoff,Q4948162,2018-03-08,Maria,Andersson,Författare,Author,Fitinghoff,/Laura/ Matilda Bernhardina
ElsaFougt,Q4948629,2018-03-08,Marie-Christine,Skuncke,"Kunglig boktryckare, bokförläggare","Book printer, publisher",Fougt,/Elsa/
SigridGillner,Q4950085,2018-03-08,Bibi,Jonsson,"Politiker, författare","Politician, author",Gillner,/Sigrid/ Maria Fredrika
BirgittaHammar,Q4952369,2018-03-08,Ann-Marie,Vinde,Översättare,Translator,Hammar,Gurly /Birgitta/ Maria Elisabeth
MajkenJohansson,Q4957057,2018-03-08,Paul,Tenngart,"Författare, frälsningssoldat","Author, soldier in the Salvation Army",Johansson,/Majken/ Emma Lillemor
GunnelJonang,Q4957384,2018-03-08,Inger,Fredriksson,"Politiker, riksdagsledamot, fredsaktivist","Politician, member of parliament, peace activist",Jonäng,/Gunnel/ Maria
AmandaKerfstedt,Q4958590,2018-03-08,Eva,Heggestad,"Författare, översättare","Author, translator",Kerfstedt,Hilda Augusta /Amanda/
JohannaLohm,Q4963436,2018-03-08,Marie,Steinrud,"Lärare, skolgrundare","Teacher, school founder",Lohm,/Johanna/ Juliana Josefa
BrittMogard,Q4967758,2018-03-08,Anna,Lilliehöök,"Politiker, minister","Politician, government minister",Mogård,/Britt/ Emma Tora
AnnaMargaretavonBragner,Q4967899,2018-03-08,Ann,Öhrberg,"Skribent, redaktör","Journalist, editor",Momma,Anna /Margareta/
GertrudMansson,Q4968671,2018-03-08,Kerstin E,Wallin,"Politiker, fackligt aktiv, kvinnosakskvinna","Politician, union organiser, promoter of women's issues",Månsson,/Gertrud/ Carolina
ValborgOlander,Q4970887,2018-03-08,Lisbeth,Stenberg,"Lärare, rösträttskvinna","Teacher, suffragette",Olander,/Valborg/ Henrika Christina
HannaOuchterlony,Q4971537,2018-03-08,Gunilla,Gunner,Grundare av Frälsningsarmén i Sverige,Founder of the Swedish Salvation Army,Ouchterlony,/Hanna/ Cordelia
ChristianaOxenstierna,Q4971580,2018-03-08,Tilda Maria,Forselius,"Adelsdam, filantrop","Noblewoman, philanthropist",Oxenstierna,/Christiana/ Juliana
ValfridPalmgrenMunchPetersen,Q4971784,2018-03-08,Lena,Lundgren,"Bibliotekarie, rösträttskvinna, fredsaktivist","Librarian, suffragette, peace activist",Palmgren Munch-Petersen,Alfhild /Valfrid/ Matilda
SophieRibbing,Q4974655,2018-03-08,Martin,Dackling,"Konstnär, porträttmålare","Artist, portrait painter",Ribbing,/Sophie/ Amalia
EbbaRichert,Q4974744,2018-03-08,Bibi,Jonsson,Författare,Author,Richert,/Ebba/ Cecilia
MargaretaElisabethRoos,Q4975383,2018-03-08,Maria,Sjöberg,"Soldat, tog värvning iklädd manskläder","Soldier, joined the army in men's clothing",Roos,/Margareta Elisabeth/
MathildaRoos,Q4975387,2018-03-08,Eva,Heggestad,Författare,Author,Roos,Lovisa /Mathilda/
KarolinaMatildaGunhildRosen,Q4975448,2018-03-08,Cecilia,Malmström Olsson,"Dansare, koreograf, Kungliga Operans balettmästare","Dancer, choreographer, ballet master at the Royal Swedish Ballet",Rosén,Karolina Matilda /Gunhild/
MargitSahlin,Q4976492,2018-03-08,Boel,Hössjer Sundman,"Präst, pionjär, opinionsbildare","Priest, pioneer, influencer of public opinion",Sahlin,/Margit/ Rigmor
StinaSundberg,Q4981215,2018-03-08,Louise,Lönnroth,"Skolgrundare, folkbildare, politiker","School founder, purveyor of popular education, politician",Sundberg,Anna-Stina (/Stina/)
GardaSvensson,Q4981510,2018-03-08,Camilla,Norrbin,"Politiker, riksdagsledamot, förbundssekreterare i Svenska Landsbygdens Kvinnoförbund","Politician, member of parliament, secretary of Svenska Landsbygdens Kvinnoförbund",Svensson,/Gärda/ Sofia
UllaTillander,Q4982841,2018-03-08,Veronica,Kurkko,"Politiker, minister, FN-delegat","Politician, government minister, UN delegate",Tillander,/Ulla/ Britta
LisAsklund,Q4987085,2018-03-08,Louise,Lönnroth,"Kurator, programledare, samlevnadsrådgivare","Councellor, programme-presenter, sexual educator",Asklund,Louise (/Lis/) Viveka Ulrika
IngaEhrstrom,Q4988383,2018-03-08,Lisbeth,Larsson,"Skådespelare, författare","Actor, author",Ehrström,/Inga/-Brita
JeanetteGranberg,Q4988588,2018-03-08,Birgitta,Johansson Lindh,"Författare, dramatiker, översättare","Author, playwright, translator",Granberg,Johanna (/Jeanette/) Charlotta
EsterLutteman,Q4989126,2018-03-08,Hanna,Stenström,"Teolog, kvinnosakskvinna, fredsaktivist","Theologist, promoter of women's issues, peace activist",Lutteman,/Ester/
HertaWiren,Q4990649,2018-03-08,Lisbeth,Larsson,"Journalist, proletärförfattare","Journalist, proletarian author",Wirén,/Herta/ Elsa
AnnaMariaZetterstrand,Q4990920,2018-03-08,Maria,Sjöberg,"Kokerska, kokboksförfattare, företagare","Cook, entrepreneur, author of a cookery book",Zetterstrand,/Anna Maria/
AnnaLisaOstLappLisa,Q4991149,2018-03-08,Christina,Mattsson,"Vissångare, frälsningssoldat","Ballad-singer, Salvationist",Öst (Lapp-Lisa),Anna Lovisa (/Anna-Lisa/)
MartinaBergmanOsterberg,Q4991163,2018-03-08,Anders,Ottosson,"Gymnastiklärare, utbildningsgrundare, rösträttskvinna","Games teacher, educational founder, suffragette",Bergman-Österberg,/Martina/ Sofia Helena
UllaEhrensvard,Q11899441,2018-03-08,Nanouschka,Myrberg Burström,"Karthistoriker, konstvetare, bibliotekarie","Cartography historian, art historian, librarian",Ehrensvärd,Eva Marie /Ulla/ Margareta
UlrikaFredrikaBremer,Q14191246,2018-03-08,Kirsi,Vainio-Korhonen,"Affärskvinna, företagare","Businesswoman, entrepreneur",Bremer,/Ulrika Fredrika/
BeataRosenhane,Q15713810,2018-03-08,Stina,Hansson,"Välutbildad adelsdam, brevskrivare","Well-educated noblewoman, letter writer",Rosenhane,/Beata/
BirgittaSahlgren,Q16285614,2018-03-08,Maria,Sjöberg,"Industriidkare, sockerproducent, redare","Sugar manufacturer, shipowner",Sahlgren,/Birgitta/
JeannaFalk,Q16594788,2018-03-08,Gun,Román,"Dansare, danspedagog","Dancer, dance teacher",Falk,/Jeanna/
IngeborgSchager,Q16596290,2018-03-08,Gustav,Berry,"Skolkökslärare, pionjär inom huslig utbildning","Domestic science teacher, pioneering teacher of home economics",Schager,Hilda /Ingeborg/ Sofia
MariaStenkula,Q16596421,2018-03-08,Gustav,Berry,"Lärare, skolgrundare","Teacher, school founder",Stenkula,/Maria/ Helena
ElsaCollin,Q17351645,2018-03-08,Charlott,Neuhauser,"Skådespelare, författare","Actor, author",Collin,/Elsa/ Sigrid
EmyEk,Q18238535,2018-03-08,Kajsa,Ohrlander,"Rektor, föreläsare, folkbildare","Headmistress, speaker, pedagogue",Ek,/Emy/ Charlotta
FreddaHammar,Q18242272,2018-03-08,Madeleine,Michaëlsson,"Missionär, skolgrundare","Missionary, school founder",Hammar,Magdalena Fredrika (/Fredda/) Henrietta
HenrikaWidmark,Q18649250,2018-03-08,Louise,Lindblom,"Författare, lantbrukare, kvinnosakskvinna","Author, farmer, feminist",Widmark,/Henrika/ Emilia
BritaElisabetGabriellaBarnekow,Q22690103,2018-03-08,Katarina,Macleod,"Konstnär, konsthistoriker","Artist, art historian",Barnekow,Brita /Elisabet/ Gabriella
AnnaGronfeldt,Q23989243,2018-03-08,Kerstin,Norlander,"Kvinnosakskvinna, politiker, folkbildare","Promoter of women's issues, politician, purveyor of popular education",Grönfeldt,/Anna/ Elisabeth
ViviHorn,Q37016024,2018-03-08,Gunnel,Furuland,Författare,Author,Horn,Louise Viveka (/Vivi/) Anna Charlotta
AugustaGeorginaCeciliaOlsson,Q42780970,2018-03-08,Cecilia,Malmström Olsson,"Dansare, koreograf, danslärare","Dancer, choreographer, dance teacher",Olsson,Augusta Georgina /Cecilia/
IngeborgWikander,Q50512429,2018-03-08,Malin,Gregersen,Missionär,Missionary,Wikander,Sigrid Klara /Ingeborg/
CarolineWijk,Q50512430,2018-03-08,Louise,Lönnroth,"Filantrop, donator, mecenat","Philanthropist, donor, patron of the arts",Wijk,/Caroline/
EbbaTheorinKolare,Q50512443,2018-03-08,Birgitta,Ney,"Journalist, chefredaktör, författare","Journalist, editor-in-chief, author",Theorin-Kolare,/Ebba/ Viola
ElsaStenudd,Q50660030,2018-03-08,Margareta,Takahashi Johnsson,"Lärare, skolledare","Teacher, school principal",Stenudd,Tekla Sigrid Elisabeth /Elsa/
BirgitSpangberg,Q50680760,2018-03-08,Elsa,Trolle Önnerfors,Jurist,Lawyer,Spångberg,/Birgit/
MaudAdlercreutz,Q50800586,2018-03-08,Kristina,Lundgren,Journalist,Journalist,Adlercreutz,/Maud/ Ebba Augusta
EdithKlarin,Q50803502,2018-03-08,Richard,Tellström,"Näringsfysiolog, folkbildare","Nutritional physiologist, purveyor of popular education",Klarin,/Edith/ Natalia
ElinTeresiaAndreaSvensson,Q50804221,2018-03-08,Berith,Backlund,"Textilarbetare, kommunpolitiker, fackligt aktiv","Textile worker, municipal politician, active within the trade union",Svensson,/Elin/ Teresia Andrea
LisaEkedahl,Q50804814,2018-03-08,Elsa,Trolle Önnerfors,"Jurist, rösträttskvinna","Lawyer, suffragette",Ekedahl,Maria Elisabeth (/Lisa/)
LenaPersson,Q50804832,2018-03-08,Birgitta,Ney,"Journalist, författare","Journalist, author",Persson,/Lena/ Christina
EllenErup,Q50805071,2018-03-08,Lena,Milton,Barnmorska,Midwife,Erup,/Ellen/ Beata
MariaAndersson,Q50808550,2018-03-08,Kerstin,Sandell,"Företagare, filantrop, pionjär inom modern mentalvård","Entrepreneur, philanthropist, mental health care pioneer",Andersson,/Maria/
CarolaEneroth,Q50809177,2018-03-08,Esbjörn,Larsson,"Lärare, förskolepionjär, skolledare","Teacher, pre-school pioneer, schoolmaster",Eneroth,/Carola/ Christina
DisaBeijer,Q50810977,2018-03-08,Gunilla,Halldén,"Förskolepionjär, barnträdgårdsledare","Pre-school pioneer, kindergarten leader",Beijer,Emma /Disa/ Esaida
ElsaBengtsson,Q50841810,2018-03-08,Åsa,Bengtsson,"Nykterhetskvinna, politiker, lärare","Temperance activist, politician, teacher",Bengtsson,Gustava Elisabet (/Elsa/)
ElsaGafvelin,Q50846999,2018-03-08,Kerstin,Norlander,"Lärare, liberal politiker","Teacher, liberal politician",Gafvelin,/Elsa/ Maria
CatharinaNilssonGehlin,Q50847470,2018-03-08,Linda,Fagerström,"Konstnär, modernist","Artist, modernist",Nilsson-Gehlin,/Catharina/
GothildaFurstenberg,Q50855442,2018-03-08,Maria,Sjöberg,"Konstsamlare, mecenat, filantrop","Art collector, patron of the arts, philanthropist",Fürstenberg,/Göthilda/ Charlotta
EmyFick,Q50873860,2018-03-08,Maria,Carlgren,"Textilkonstnär, modedirektris, skolgrundare","Textile artist, fashion director, school founder",Fick,/Emy/ Oscaria Charlotte
AgdaNordlof,Q50874747,2018-03-08,Lisa,Svensson,"Tidskriftsgrundare, journalist, konstnär","Journal founder, journalist, artist",Nordlöf,/Agda/ Maria
AlmaNorsell,Q50950890,2018-03-08,Gunnel,Karlsson,Facklig och politisk pionjär,Political- and trade union pioneer,Norsell,/Alma/
SophiaWilkens,Q52222523,2018-03-08,Owe,Rören,"Pionjär inom specialpedagogiken, filantrop","Philanthropist, pioneer of institutional care",Wilkens,/Sophia/ Charlotta
MariaJanssonKisaMor,Q3307884,2018-03-08,Pia,Höjeberg,Läkekvinna,Healer,Jansson (Kisa-Mor),/Maria/
IngridSegerstedtWiberg,Q3379728,2018-03-08,Lisbeth,Larsson,"Journalist, politiker, förkämpe för mänskliga rättigheter","Journalist, politician, human rights activist",Segerstedt Wiberg,/Ingrid/
EvaMoberg,Q3893031,2018-03-08,Lisbeth,Larsson,"Författare, dramatiker, samhällsdebattör","Author, playwright, social debater",Moberg,/Eva/
UllaIsaksson,Q4003080,2018-03-08,Lisbeth,Larsson,Författare,Author,Isaksson,/Ulla/ Margareta
UllaBillquist,Q4086733,2018-03-08,Lasse,Zackrisson,"Sångare, revyartist","Singer, revue artiste",Billquist,/Ulla/ Ebba Ingegerd
VivicaBandler,Q4412285,2018-03-08,Sara,Granath,"Regissör, teaterchef, författare","Theatrical director, theatre manager, author",Bandler,/Vivica/ Aina Fanny
AnnMargretHolmgren,Q4766181,2018-03-08,Marie,Steinrud,Rösträttskvinna,Women's suffrage activist,Holmgren,Anna Margareta (/Ann Margret/)
AstridCleve,Q4811427,2018-03-08,Hanna,Markusson Winkvist,"Botaniker, kemist, lantbrukare","Botanist, chemist, farmer",Cleve,/Astrid/ Maria
BerthaWellin,Q4895524,2018-03-08,Inga,Berggren,"Facklig och politisk pionjär, riksdagsledamot","Pioneer in politics and trade unionism, member of parliament",Wellin,/Bertha/
GretaAdrian,Q4933970,2018-03-08,Lisbeth,Larsson,Gymnastikdirektör,Physical education instructor,Adrian,/Greta/
EvaAnden,Q4935571,2018-03-08,Elsa,Trolle Önnerfors,"Jurist, advokat, rösträttskvinna","Legal practitioner, lawyer, women's suffrage activist",Andén,/Eva/ Johanna
JuliaBeck,Q4937863,2018-03-08,Anna Lena,Lindberg,Konstnär,Artist,Beck,/Julia/ Augusta Lovisa
FannyBlomberg,Q4939591,2018-03-08,Anneli,Palmsköld,"Slöjdpedagog, lärare, slöjdinspektör","Handicraft teacher, handicraft inspector",Blomberg,/Fanny/ Elvira
JohannaHeden,Q4940309,2018-03-08,Pia,Höjeberg,"Barnmorska, fältskär","Midwife, barber-surgeon",Hedén,/Johanna/ Mariana
EvaBrag,Q4940356,2018-03-08,Lars,Gårdfelt,"Journalist, författare","Journalist, author",Brag,/Eva/ Charlotta
AmelievonBraun,Q4940516,2018-03-08,Elin,Malmer,"Söndagsskollärare, författare, väckelsekristen förkunnare","Sunday school teacher, author, revivalist preacher",von Braun,/Amelie/ Fredrika Dorotea
EmanuellaCarlbeck,Q4941825,2018-03-08,Beatrice,Christensen Sköld,"Skolgrundare, pionjär inom specialpedagogen","School-founder, pioneer within special-needs teaching",Carlbeck,/Emanuella/ Otiliana
ElsaCedergren,Q4942382,2018-03-08,Hanna,Stenström,"Förbundsordförande i KFUK, fredsaktivist, politiker","Association chair of KFUK, pacifist, politician",Cedergren,/Elsa/ Victoria
HenrietteCoyet,Q4943536,2018-03-08,Eva Helen,Ulvros,"Filantrop, kulturpersonlighet","Philanthropist, cultural personality",Coyet,Hilda Eleonora /Henriette/ Dorotée Amelie
ElsieDahlberg,Q4943958,2018-03-08,Helena,Andreeff,"Konstnär, skulptör","Artist, sculptor",Dahlberg,/Elsie/ Margareta
AstaEkenvall,Q4946082,2018-03-08,Maria,Sjöberg,"Idéhistoriker, bibliotekarie, grundare av Kvinnohistoriskt arkiv","Historian of ideas, librarian, founder of Kvinnohistoriskt arkiv (archive on women's history)",Ekenvall,Astrid Märta (/Asta/)
SigridElmblad,Q4946539,2018-03-08,Eva,Heggestad,"Författare, översättare, journalist","Author, translator, journalist",Elmblad,/Sigrid/ Agneta Sofia
ElsaEwerlof,Q4947351,2018-03-08,Ann-Marie,Petersson,Politiker,Politician,Ewerlöf,/Elsa/ Helga Emilia Josefina
AmaliaFahlstedt,Q4947447,2018-03-08,Eva,Heggestad,"Skolledare, författare, översättare","School principal, author, translator",Fahlstedt,/Amalia/ Wilhelmina
EllenFries,Q4948980,2018-03-08,Ann-Sofie,Ohlander,"Historiker, lärare, författare","Historian, teacher, author",Fries,/Ellen/
EliseFrosslind,Q4949179,2018-03-08,Hélène,Ohlsson,"Operasångare, skådespelare","Opera singer, actress",Frösslind,Christina Elisabeth (/Elise/)
AuroraLjungstedt,Q4949843,2018-03-08,Yvonne,Leffler,Författare,Author,Ljungstedt,/Aurora/ Lovisa
IdaGranqvist,Q4950789,2018-03-08,Hanna,Stenström,"Författare, missionär, översättare","Author, missionary, translator",Granqvist,/Ida/
RuthGustafsson,Q4951481,2018-03-08,Ulrika,Holgersson,"Journalist, politiker, agitator","Journalist, politician, agitator",Gustafsson,/Ruth/ Valborg Maria
RuthHallden,Q4952158,2018-03-08,Birgit,Munkhammar,"Litteraturkritiker, författare","Literary critic, author",Halldén,/Ruth/ Anna Helena
RuthHamrinThorell,Q4952454,2018-03-08,Kersti,Ullenhag,"Journalist, politiker","Journalist, politician",Hamrin-Thorell,/Ruth/ Lizzie
BertaHansson,Q4952582,2018-03-08,Gunilla,Carlstedt,Konstnär,Artist,Hansson,/Berta/ Elisabet
EllenHartmanCederstrom,Q4952850,2018-03-08,Hélène,Ohlsson,Skådespelare,Actor,Hartman-Cederström,Helena (/Ellen/)  Elisabeth Florentina
SonyaHedenbratt,Q4953107,2018-03-08,Lisbeth,Larsson,"Jazzsångare, revyartist","Jazz singer, revue artist",Hedenbratt,/Sonya/ Elisabeth
KerstinHesselgren,Q4953847,2018-03-08,Renée,Frangeur,"Yrkesinspektör, feminist, riksdagsledamot","Factory inspector, feminist, member of parliament (Swedish Riksdag)",Hesselgren,/Kerstin/
KarinJohannisson,Q4956830,2018-03-08,Ingemar,Nilsson,Professor i idé- och lärdomshistoria,Professor in intellectual history,Johannisson,/Karin/ Margaretha
KlaraJohanson,Q4956862,2018-03-08,Carina,Burman,"Litteraturkritiker, författare, journalist","Literary critic, author, journalist",Johanson,/Klara/ Elisabet
MargaretaKjellberg,Q4958964,2018-03-08,Christina,Mattsson,"Vissångare, programledare","Ballad-singer, TV presenter",Kjellberg,/Margareta/ Dagmar
GretaKnutsonTzara,Q4959262,2018-03-08,Martin,Sundberg,"Konstnär, författare, översättare","Artist, author, translator",Knutson-Tzara,/Greta/
ElisabethKuylenstiernaWenster,Q4960199,2018-03-08,Gundel,Söderholm,"Författare, översättare","Author, translator",Kuylenstierna-Wenster,Maria /Elisabeth/
ZeniaSzajnaLarsson,Q4961191,2018-03-08,Lisbeth,Larsson,"Konstnär, författare, Förintelseöverlevare","Artist, author, Holocaust survivor",Larsson,/Zenia/ Szajna
HenrikaJulianavonLiewen,Q4962097,2018-03-08,Brita,Planck,"Hovdam, salongsvärdinna, hattpartist","Lady-in-waiting, hostess of cultural salons, hat party supporter",von Liewen,/Henrika Juliana/
GretaLinder,Q4962631,2018-03-08,Lena,Lundgren,"Bibliotekarie, bibliotekskonsulent, lärare","Librarian, library manager, teacher",Linder,Ingrid Gurli Margareta (/Greta/)
HarrietLowenhjelm,Q4964675,2018-03-08,Boel,Hackman,"Författare, konstnär","Author, artist",Löwenhjelm,/Harriet/ Augusta Dorothea
MartaMaasFjetterstrom,Q4968715,2018-03-08,Annika,Persson,Textilkonstnär,Textile artist,Måås-Fjetterström,/Märta/ Livia Wilhelmina
BarbroNilsson,Q4969569,2018-03-08,Pia,Lundqvist,"Textilkonstnär, formgivare, lärare","Textile artist, designer, teacher",Nilsson,/Barbro/
IdaNilsson,Q4969624,2018-03-08,Elisabeth,Arwill-Nordbladh,"Konstnär, skulptör, självlärd arkeolog och folkminnesdokumentör","Artist, sculptor, self-taught archaeologist and documentor of dialectal proverbs",Nilsson,/Ida/ Göthilda
OliviaNordgren,Q4970006,2018-03-08,Christina,Carlsson Wetterberg,"Politiker, typograf, fackligt aktiv","Politician, typographer, trade unionist",Nordgren,/Olivia/ Lovisa
ElsaNyblom,Q4970522,2018-03-08,Birgitta,Ney,"Journalist, författare","Journalist, author",Nyblom,/Elsa/ Kristina
BirgittaOden,Q4970779,2018-03-08,Eva,Österberg,Professor i historia,History professor,Odén,Agnes /Birgitta/
RosalieOlivecrona,Q4970956,2018-03-08,Gunnel,Furuland,"Författare, kvinnosakskvinna, tidskriftsredaktör","Author, promoter of women's issues, editor",Olivecrona,/Rosalie/ Ulrika
EbbaPauli,Q4972095,2018-03-08,Roger,Qvarsell,Socialpolitisk föreläsare och debattör,Socio-political lecturer and polemicist,Pauli,/Ebba/ Helena
AstridPettersson,Q4972717,2018-03-08,Lisbeth,Larsson,"Författare, lantbrukare, politiker","Author, farmer, politician",Pettersson,/Astrid/ Maria
ElinPikkuniemi,Q4972943,2018-03-08,Lennart K,Persson,"Idrottare, skidåkare","Sportswoman, skier",Pikkuniemi,/Elin/ Eugenia
StinaPiper,Q4973002,2018-03-08,Carin,Bergström,"Grevinna, godsförvaltare, salongsvärdinna","Countess, land owner, hostess of cultural salons",Piper,Christina Charlotta (/Stina/)
GerdaPlantingGyllenbaga,Q4973072,2018-03-08,Josefin,Rönnbäck,"Rösträttskvinna, politiker","Suffragette, politician",Planting-Gyllenbåga,/Gerda/ Henrietta Margareta
SylviaMarieLouiseRamnefalk,Q4973981,2018-03-08,Lisbeth,Larsson,"Författare, litteraturkritiker, översättare","Author, literary critic, translator",Ramnefalk,Sylvia /Marie Louise/
EbbaRamsay,Q4973995,2018-03-08,Birger,Hedén,"Författare, översättare, filantrop","Author, translator, philanthropist",Ramsay,/Ebba/ Gustava
SaraRantaRonnlund,Q4974055,2018-03-08,Anne,Heith,"Författare, samisk folklivsskildrare, samhällsdebattör","Author, portrayer of Sami life, social debater",Ranta-Rönnlund,/Sara/
