skblid,wid,publishedDate,article_author_firstname,article_author_lastname,subtitle_sv,subtitle_eng,name_lastname,name_firstname
CatharinaRenaut,Q50512401,2018-03-08,Kirsi,Vainio-Korhonen,Barnmorska,Midwife,Renaut,/Catharina/
ElisabethCronstrom,Q50512407,2018-03-08,Camilla,Alexandersson,"Bruksägare, godsägare, donator","Land owner, factory owner, donor",Cronström,/Elisabeth/
AnnaLisaVinberg,Q50512432,2018-03-08,Elsa,Trolle Önnerfors,"Domare, häradshövding","Judge, chief district judge",Vinberg,Hedvig /Anna-Lisa/
TeklaSwedlund,Q50560225,2018-03-08,Camilla,Larsson,"Gymnastikdirektör, sjukgymnast","Physical education teacher, physiotherapist",Swedlund,/Tekla/ Emilia
VeraStarckRomanus,Q50680702,2018-03-08,Inger,Eriksson,"Läkare, sexualupplysare","Doctor, sex educator",Starck-Romanus,/Vera/
AnnaPettersson,Q50801614,2018-03-08,Elsa,Trolle Önnerfors,Jurist,Lawyer,Pettersson,/Anna/ Maria
MariaLarsen,Q50804295,2018-03-08,Lisbeth,Stenberg,"Bibliotekarie, aktiv inom kvinnorörelsen","Librarian, promoter of women's issues",Larsen,/Maria/ Lydia
KarinAndren,Q50804743,2018-03-08,Hans,Modig,"Förlagsredaktör, folkbildare","Publishing house editor, popular educator",Andrén,/Karin/ Elisabet
HedvigRinander,Q50808027,2018-03-08,Åsa,Bengtsson,"Politiker, lärare, nykterhetskämpe","Politician, teacher, temperance activist",Rinander,/Hedvig/ Natalia
SelmaLaman,Q50808543,2018-03-08,Pia,Lundqvist,Missionär,Missionary,Laman,/Selma/ Karolina
IngridMonicaBruce,Q50809181,2018-03-08,Linus,Karlsson,"Civilingenjör, fackligt aktiv","Civil engineer, trade-union representative",Bruce,/Ingrid/ Monica
EivorAsklin,Q50810165,2018-03-08,Fia,Sundevall,"Generalsekreterare, Sveriges lottakårer","Secretary-General, Sveriges lottakårer",Asklin,/Eivor/ Margareta
GretaBergstrom,Q50818781,2018-03-08,Gustav,Berry,"Folkbildare, hushållspedagog, biståndsarbetare","Popular educator, home economics teacher, aid worker",Bergström,/Greta/ Emilia Oskara
NellyHall,Q50949373,2018-03-08,Gunilla,Gunner,Predikant,Preacher,Hall,/Nelly/ Amalia
CordeliaEdvardson,Q24999,2018-03-08,Lisbeth,Larsson,"Journalist, författare","Journalist, author",Edvardson,/Cordelia/ Maria
SelmaLagerlof,Q44519,2018-03-08,Lisbeth,Stenberg,Författare,Author,Lagerlöf,/Selma/ Ottilia Lovisa
Kristinadrottning,Q52937,2018-03-08,Marie-Louise,Rodén,Drottning av Sverige,Queen of Sweden,,"/Kristina/, drottning"
EliseLiseMeitner,Q56189,2018-03-08,Hedvig,Hedqvist,"Fysiker, professor, formulerade teorin om kärnklyvning","Physicist, professor who formulated the theory of nuclear division",Meitner,Elise (/Lise/)
NellySachs,Q57074,2018-03-08,Anders,Olsson,"Författare, Nobelpristagare i litteratur","Author, Nobel Prize winner in literature",Sachs,Leonie (/Nelly/)
AleksandraKollontaj,Q179558,2018-03-08,Katarina,Leppänen,"Socialistisk agitator, kvinnosakskvinna, diplomat","Socialist agitator, promoter of women's issues, diplomat",Kollontaj,/Aleksandra/ Mikhajlova
KatarinaJagellonicadrottning,Q233277,2018-03-08,Dick,Harrison,Drottning av Sverige,Queen of Sweden,,"/Katarina Jagellonica/, drottning"
EvaElisabethDahlbeck,Q239881,2018-03-08,Tytti,Soila,"Skådespelare, författare","Actor, author",Dahlbeck,/Eva/ Elisabeth
MonicaZetterlund,Q254527,2018-03-08,Mischa,van Kan,"Jazzsångare, revyartist, skådespelare","Jazz singer, cabaret artiste, actor",Zetterlund,Eva /Monica/
KatarinaStenbock,Q256139,2018-03-08,Karin,Tegenborg Falkdalen,Drottning av Sverige,Queen of Sweden,,"/Katarina/, drottning"
AliceBabsSjoblom,Q256809,2018-03-08,Mischa,van Kan,"Sångare, skådespelare","Singer, actress",Sjöblom,Hildur Alice (/Alice Babs/)
MagdaJulin,Q267498,2018-03-08,Lennart K,Persson,Konståkare,Figure skater,Julin,/Magda/ Henriette Maria
SigneHasso,Q268695,2018-03-08,Jennifer,Vintkvist,"Skådespelare, författare, musiker","Actor, author, musician",Hasso,/Signe/
VictoriaBenedictsson,Q273950,2018-03-08,Lisbeth,Larsson,Författare,Author,Benedictsson,/Victoria/ Maria
SiriDerkert,Q517138,2018-03-08,Maria,Carlgren,"Konstnär, modernistisk pionjär","Artist, modernist pioneer",Derkert,/Siri/ Karin
LenkeRothman,Q1251184,2018-03-08,Magnus,Jensner,"Konstnär, författare","Artist, author",Rothman,/Lenke/
MariaAdelborg,Q4934185,2018-03-08,Lisbeth,Larsson,Textilkonstnär,Textile artist,Adelborg,Eleonora Amalia /Maria/
RuthAlmen,Q4935182,2018-03-08,Eva,Öhrström,"Tonsättare, musiklärare, författare","Composer, music teacher, writer",Almén,/Ruth/ Sofia
MajaAnderssonWirde,Q4935735,2018-03-08,Marie,Andersson,Textilkonstnär,Textile artist,Andersson Wirde,Sigrid Maria (/Maja/)
SivArb,Q4936366,2018-03-08,Emma,Tornborg,"Poet, litteraturkritiker, översättare","Poet, literary critic, translator",Arb,/Siv/ Märta Christina
MonicaBoethius,Q4939770,2018-03-08,Kristina,Lundgren,Journalist,Journalist,Boëthius,Anna Valborg /Monica/
JeanetteBonnier,Q4940016,2018-03-08,Kristina,Lundgren,"Journalist, konstsamlare","Journalist, art collector",Bonnier,Johanna Margareta /Jeanette/
MajBring,Q4940661,2018-03-08,Lena,Boëthius,Konstnär,Artist,Bring,Ebba Maria (/Maj/)
MajaCarlquist,Q4941884,2018-03-08,Pia,Lundquist Wanneberg,Gymnastikdirektör,Physical education director,Carlquist,Maria (/Maja/) Augusta
JuneCarlsson,Q4941958,2018-03-08,,,"Journalist, programledare, medieproducent","Journalist, programme presenter, media producer",Carlsson,/June/ Barbro
MariaCederschiold,Q4942412,2018-03-08,Maria,Sjöberg,"Lärare, journalist, kvinnosakskvinna","Teacher, journalist, women's issues activist",Cederschiöld,Hedvig /Maria/ Reditta
NancyEriksson,Q4947061,2018-03-08,Gunnel,Karlsson,Riksdagsledamot,Member of parliament,Eriksson,/Nancy/ Margareta
MajFant,Q4947601,2018-03-08,Katarina,Lindahl,"Socionom, författare, sexualupplysare","Trained social worker, author, popular educator on sexual matters",Fant,Ebba /Maj/
SigridFridman,Q4948953,2020-03-02,Irja,Bergström,Skulptör,Sculptor,Fridman,/Sigrid/ Karolina Sofia
SofiaGisberg,Q4950131,2018-03-08,Anita,Du Rietz,"Mönsterritare, formgivare","Pattern designer, designer",Gisberg,/Sofia/
IngierdGunnarsdotter,Q4951388,2018-03-08,Maria,Sjöberg,Vissångare,Ballad singer,Gunnarsdotter,/Ingierd/
IngeborgHammarskjoldReiz,Q4952405,2018-03-08,Hjördis,Kristensson,"Arkitekt, stadsplanerare","Architect, city planner",Hammarskjöld-Reiz,/Ingeborg/ Fredrika
LillyHellstrom,Q4953495,2018-03-08,Ann-Marie,Petersson,"Politiker, rösträttskvinna, publicist","Politician, suffragette, publicist",Hellström,/Lilly/ Elin Sofia Elisabet
