,WD,arkid,nameAuth,urlAuth,Auktoriserad,Datum,Auktoritetspost,WD_Arken
3539,,,"Bagge-Lindahl, Iwan","Bagge-Lindahl,-Iwan","Bagge-Lindahl, Iwan",1892-1972,ediffah:kb:775167:1221739081,Arken_only
3541,,,"Barck-Lagergren, Kajsa","Barck-Lagergren,-Kajsa","Barck-Lagergren, Kajsa",1897-1986,ediffah:kb:595151:1250862598,Arken_only
3543,,,"Barnekow, Rutger","Barnekow,-Rutger","Barnekow, Rutger",1701-1772,ediffah:kb:736493:1414496164,Arken_only
3544,,,Barnens dags riksförbund,barnens-dags-riksforbund,Barnens dags riksförbund,,https://libris.kb.se/jgvz3fj21p8j20z#it,Arken_only
3545,,,"Barnes, Daniel R","Barnes,-Daniel-R","Barnes, Daniel R",1940-2016,ediffah:kb:126807:1500544007,Arken_only
3547,,,"Barth, Sophie","Barth,-Sophie","Barth, Sophie",1870-1948,ediffah:kb:495327:1270823290,Arken_only
3549,,,"Beausang, Jeanne","Beausang,-Jeanne","Beausang, Jeanne",1878-1945,ediffah:kb:969436:1401778294,Arken_only
3550,,,"Beckman, Knut Vilhelm Montan","Beckman,-Knut-Vilhelm-Montan","Beckman, Knut Vilhelm Montan",1935-1995,ediffah:kb:964606:1429185781,Arken_only
3554,,,"Beijer, Peter Gottfrid Eberhard","Beijer,-Peter-Gottfrid-Eberhard","Beijer, Peter Gottfrid Eberhard",1845-1921,ediffah:kb:818621:1147777331,Arken_only
3555,,,"Beijrot, Nils","Beijrot,-Nils","Beijrot, Nils",1921-1988,ediffah:kb:311229:1367491875,Arken_only
3556,,,"Belina, Józef","Belina,-Józef","Belina, Józef",1912-1998,ediffah:kb:130807:1445495851,Arken_only
3560,,,"Bendixon, Stig","Bendixon,-Stig","Bendixon, Stig",1888-,ediffah:kb:801786:1147775125,Arken_only
3565,,,"Bennet, Iwa","Bennet,-Iwa","Bennet, Iwa",1897-,ediffah:kb:495327:1270823290,Arken_only
3566,,,"Bennet, Louise","Bennet,-Louise","Bennet, Louise",1877-1961,ediffah:kb:162671:1374137948,Arken_only
3569,,,"Berg, Anna","Berg,-Anna","Berg, Anna",1838-1926,ediffah:kb:275955:1414038677,Arken_only
3574,,,"Berg, Isak","Berg,-Isak","Berg, Isak",1803-1886,ediffah:kb:275955:1414038677,Arken_only
3576,,,"Berg, Johan","Berg,-Johan","Berg, Johan",1851-1931,ediffah:kb:753391:1137510505,Arken_only
3579,,,"Berg, Signe","Berg,-Signe","Berg, Signe",1886-1979,ediffah:kb:175865:1189604468,Arken_only
3581,,,"Berg, Wilhelm",berg-wilhelm,"Berg, Wilhelm",1839-1915,https://libris.kb.se/ljx15dk42001w4c#it,Arken_only
3591,,,Berghem (släkt),Berghem-släkt,Berghem (släkt),,ediffah:kb:180191:1137595657,Arken_only
3597,,,"Berglund, Staffan",berglund-staffan,"Berglund, Staffan",1949-,https://libris.kb.se/1zcff42k3t17xl5#it,Arken_only
3599,,,"Bergman, Bo",bergman-bo,"Bergman, Bo",1931-,https://libris.kb.se/vs688zxd1v4dflt#it,Arken_only
3606,,,"Bergman, Johan Magnus","Bergman,-Johan-Magnus","Bergman, Johan Magnus",1796-,ediffah:kb:556767:1305824280,Arken_only
3607,,,"Bergman, Maud",bergman-maud,"Bergman, Maud",1932-,https://libris.kb.se/ljx01n943z9x98m#it,Arken_only
3608,,,"Bergman, Pehr Reinhold","Bergman,-Pehr-Reinhold","Bergman, Pehr Reinhold",1816-1872,ediffah:kb:577491:1150363260,Arken_only
3609,,,"Bergman, Stina",bergman-stina,"Bergman, Stina",1888-1976,https://libris.kb.se/20dgg56l0hgl5sl#it,Arken_only
3613,,,"Bergstrand, Allan",bergstrand-allan,"Bergstrand, Allan",1891-1984,http://libris.kb.se/resource/auth/177927,Arken_only
3615,,,"Bergström, Bernhard","Bergström,-Bernhard","Bergström, Bernhard",1892-1963,ediffah:kb:290477:1256283661,Arken_only
3617,,,"Bergström, Fr. Sev","Bergström,-Fr-Sev","Bergström, Fr. Sev",1792-1890,ediffah:kb:477058:1308342220,Arken_only
3619,,,"Bergström, Rickard","Bergström,-Rickard","Bergström, Rickard",1828-1893,ediffah:kb:477058:1308342220,Arken_only
3622,,,"Berling, Charlotte","Berling,-Charlotte","Berling, Charlotte",1928-,ediffah:kb:982441:1337699630,Arken_only
3623,,,Berlingska boktryckeri- och stilgjuteriaktiebolaget,Berlingska-boktryckeri-och-stilgjuteriaktiebolaget,Berlingska boktryckeri- och stilgjuteriaktiebolaget,,https://libris.kb.se/gdsw50g00h6h46m#it,Arken_only
3626,,,"Beronius, Olai Magni","Beronius,-Olai-Magni","Beronius, Olai Magni",1657-1716,ediffah:kb:982007:1490278715,Arken_only
3627,,,Beskow (släkt),Beskow-släkt,Beskow (släkt),,ediffah:kb:289907:1305824980,Arken_only
3629,,,"Beskow, Carl","Beskow,-Carl","Beskow, Carl",1862-1924,ediffah:kb:651767:1446646354,Arken_only
3630,,,"Beskow, Gustaf","Beskow,-Gustaf","Beskow, Gustaf",1880-1940,ediffah:kb:651767:1446646354,Arken_only
3633,,,"Bettiolo, Sergio","Bettiolo,-Sergio","Bettiolo, Sergio",,https://libris.kb.se/0jbk9l9b5636kg3#it,Arken_only
3634,,,"Bexelius, Carolina Ulrika","Bexelius,-Carolina-Ulrika","Bexelius, Carolina Ulrika",1803-1876,ediffah:kb:175865:1189604468,Arken_only
3635,,,"Bexelius, Johan","Bexelius,-Johan","Bexelius, Johan",1782-1840,ediffah:kb:175865:1189604468,Arken_only
3636,,,Biblis,biblis,Biblis,1997-,https://libris.kb.se/jgvx1j820nr0szr#it,Arken_only
3637,,,"Bielke, Thure","Bielke,-Thure","Bielke, Thure",1829-1899,ediffah:kb:127977:1235146258,Arken_only
3638,,,"Billingson, Sven","Billingson,-Sven","Billingson, Sven",1920-2003,ediffah:kb:677879:1163609327,Arken_only
3640,,,"Bjerre, Ellen","Bjerre,-Ellen","Bjerre, Ellen",1872-,ediffah:kb:974589:1415976947,Arken_only
3641,,,"Bjerre, Gunhild","Wennerberg,-Gunhild","Bjerre, Gunhild",1860-1925,ediffah:kb:560948:1445518079,Arken_only
3642,,,"Bjerre, Sophie","Bjerre,-Sophie","Bjerre, Sophie",1852-1933,ediffah:kb:744367:1415975884,Arken_only
3643,,,"Bjerre, Sören","Bjerre,-Sören","Bjerre, Sören",1836-1913,ediffah:kb:884046:1204562234,Arken_only
3644,,,"Bjerre, Sören Christer","Bjerre,-Sören-Christer","Bjerre, Sören Christer",1905-1967,ediffah:kb:744367:1415975884,Arken_only
3647,,,"Björck, Staffan","Björck,-Staffan","Björck, Staffan",1910-1995,ediffah:kb:523263:1164904794,Arken_only
3648,,,"Björk, Arne","Björk,-Arne","Björk, Arne",1910-1958,ediffah:kb:260828:1260345323,Arken_only
3649,,,"Björklund, Gustafva",bjorklund-gustafva,"Björklund, Gustafva",1792-1856,https://libris.kb.se/0xbdf7sj3cbxdlv#it,Arken_only
3651,,,"Björnberg, Berndt Arne","Björnberg,-Berndt-Arne","Björnberg, Berndt Arne",1908-1983,ediffah:kb:420179:1134379995,Arken_only
3652,,,"Björnmarck, Abraham","Björnmarck,-Abraham","Björnmarck, Abraham",1698-1776,ediffah:kb:457949:1162909497,Arken_only
3653,,,"Björnmarck, Olof","Björnmarck,-Olof","Björnmarck, Olof",1658-1720,ediffah:kb:457949:1162909497,Arken_only
3657,,,"Björnstjerna, Carl Magnus Gustaf","Björnstjerna,-Carl-Magnus-Gustaf","Björnstjerna, Carl Magnus Gustaf",1844-1906,ediffah:kb:982007:1490278715,Arken_only
3659,,,"Björnstjerna, Elisabeth","Björnstjerna,-Elisabeth","Björnstjerna, Elisabeth",1797-1866,ediffah:kb:982007:1490278715,Arken_only
3660,,,"Björnstjerna, Gustaf Magnus Oscar Rogér","Björnstjerna,-Gustaf-Magnus-Oscar-Rogér","Björnstjerna, Gustaf Magnus Oscar Rogér",1847-1942,ediffah:kb:982007:1490278715,Arken_only
3661,,,"Björnstjerna, Johan Magnus","Björnstjerna,-Johan-Magnus","Björnstjerna, Johan Magnus",1805-1898,ediffah:kb:819191:1187271284,Arken_only
3663,,,"Björnwall, Sven","Björnwall,-Sven","Björnwall, Sven",1906-,ediffah:kb:258026:1155037600,Arken_only
3673,,,"Bloom, Birgitta","Bloom,-Birgitta","Bloom, Birgitta",1924-,ediffah:kb:687615:1368615917,Arken_only
3676,,,"Boheman, Erik Carlsson","Boheman,-Erik-Carlsson","Boheman, Erik Carlsson",1895-1979,ediffah:kb:963551:1415345577,Arken_only
3680,,,"Bohrn, Harald O","Bohrn,-Harald-O","Bohrn, Harald O",1904-1989,ediffah:kb:177614:1204641932,Arken_only
3682,,,Bokförlaget Natur och kultur,Bokförlaget-Natur-och-kultur,Bokförlaget Natur och kultur,,https://libris.kb.se/c9prpz6w17vmjr0#it,Arken_only
3683,,,Boliden AB,boliden-ab,Boliden AB,,https://libris.kb.se/khwzw5f355prkwr#it,Arken_only
3684,,,"Boltenstern, Amelie Charlotta Hedvig","Boltenstern,-Amelie-Charlotta-Hedvig","Boltenstern, Amelie Charlotta Hedvig",1866-1919,ediffah:kb:490939:1478250591,Arken_only
3685,,,"Boltenstern, Fritz","Boltenstern,-Fritz","Boltenstern, Fritz",1893-1983,ediffah:kb:490939:1478250591,Arken_only
3686,,,"Boltenstern, Thure","Boltenstern,-Thure","Boltenstern, Thure",1890-,ediffah:kb:773374:1262187439,Arken_only
3689,,,"Bonde, Ingeborg","Bonde,-Ingeborg","Bonde, Ingeborg",1882-1943,ediffah:kb:495327:1270823290,Arken_only
3692,,,"Bonov, Mauritz","Bonov,-Mauritz","Bonov, Mauritz",1904-1982,ediffah:kb:704191:1429186360,Arken_only
3693,,,"Borastus, Gregorius Laurentii","Borastus,-Gregorius-Laurentii","Borastus, Gregorius Laurentii",1584-1656,ediffah:kb:621167:1381833003,Arken_only
3695,,,"Borgman, Emelie Leontine","Borgman,-Emelie-Leontine","Borgman, Emelie Leontine",1823-1898,ediffah:kb:621515:1424944094,Arken_only
3698,,,"Boström, Elsa","Boström,-Elsa","Boström, Elsa",1885-1969,ediffah:kb:798170:1230648251,Arken_only
3699,,,"Boström, K.B.",bostrom-k-b,"Boström, K.B.",1854-1935,https://libris.kb.se/64jmvm8q25knvzg#it,Arken_only
3701,,,"Boucht, Maria Christina","Boucht,-Maria-Christina","Boucht, Maria Christina",1751-,ediffah:kb:736493:1414496164,Arken_only
3702,,,"Boye, Signe","Boye,-Signe","Boye, Signe",1875-1976,ediffah:kb:181839:1393943261,Arken_only
3703,,,"Boye, Ulf","Boye,-Ulf","Boye, Ulf",1904-1999,ediffah:kb:181839:1393943261,Arken_only
3708,,,"Brahe, Ebba",brahe-ebba,"Brahe, Ebba",1596-1674,https://libris.kb.se/vs68c35d09910gh#it,Arken_only
3713,,,"Brandzell, Karin","Brandzell,-Karin","Brandzell, Karin",1891-1974,ediffah:kb:390595:1486627474,Arken_only
3714,,,"Bratt, Ernst Morris","Bratt,-Ernst-Morris","Bratt, Ernst Morris",1852-1934,ediffah:kb:385023:1235382987,Arken_only
3715,,,"Braun, Rose","Braun,-Rose","Braun, Rose",,ediffah:kb:938941:1164035335,Arken_only
3719,,,"Bredfelt, Artur Valentin","Bredfelt,-Artur-Valentin,-köpman","Bredfelt, Artur Valentin",,ediffah:kb:942069:1165848576,Arken_only
3720,,,Breitholtz (släkt),Breitholtz-släkt,Breitholtz (släkt),,http://libris.kb.se/resource/bib/17260714,Arken_only
3721,,,"Breitholtz, Anna","Breitholtz,-Anna","Breitholtz, Anna",1887-1979,https://libris.kb.se/wt7bg13f3v4fl3x#it,Arken_only
3723,,,"Breitholtz, Bernt Julius","Breitholtz,-Bernt-Julius","Breitholtz, Bernt Julius",1786-1863,ediffah:kb:424895:1500894969,Arken_only
3726,,,"Breitholtz, Ellen Georgina","Breitholtz,-Ellen-Georgina","Breitholtz, Ellen Georgina",1868-1962,ediffah:kb:324329:1408660073,Arken_only
3728,,,"Breitholtz, Ernst Georg","Breitholtz,-Ernst-Georg","Breitholtz, Ernst Georg",1905-1991,ediffah:kb:324329:1408660073,Arken_only
3729,,,"Breitholtz, Ernst Oskar","Breitholtz,-Ernst-Oskar","Breitholtz, Ernst Oskar",1861-1943,ediffah:kb:324329:1408660073,Arken_only
3730,,,"Breitholtz, Evald","Breitholtz,-Evald","Breitholtz, Evald",1861-1916,ediffah:kb:424895:1500894969,Arken_only
3732,,,"Breitholtz, Ingrid","Breitholtz,-Ingrid","Breitholtz, Ingrid",1905-1957,ediffah:kb:324329:1408660073,Arken_only
3735,,,"Brinck, Gudrun","Brinck,-Gudrun","Brinck, Gudrun",1925-1995,ediffah:kb:751335:1364389818,Arken_only
3736,,,"Brisman, Astrid","Brisman,-Astrid","Brisman, Astrid",1913-1944,https://libris.kb.se/rp357hh946bdkld#it,Arken_only
3739,,,Broling (släkt),Broling-släkt,Broling (släkt),,ediffah:kb:688125:1144834525,Arken_only
3741,,,"Bronikowsky, Alexander Carl","Bronikowsky,-Alexander-Carl","Bronikowsky, Alexander Carl",1726-1795,ediffah:kb:225151:1255352744,Arken_only
3744,,,"Brunnberg, Karin","Brunnberg,-Karin","Brunnberg, Karin",1914-2016,ediffah:kb:963551:1415345577,Arken_only
3745,,,"Brunnström, Lasse",brunnstrom-lasse,"Brunnström, Lasse",1948-,http://libris.kb.se/resource/auth/179478,Arken_only
3750,,,"Brändström, Per","Brändström,-Per","Brändström, Per",1890-1960,ediffah:kb:483325:1415176801,Arken_only
3754,,,"Buggenhagen,  von (släkt)","Buggenhagen,-von-släkt","Buggenhagen,  von (släkt)",,ediffah:kb:127989:1136989763,Arken_only
3755,,,"Bullernaesius, Nicolaus Laurentii",bullernaesius-nicolaus-laurentii,"Bullernaesius, Nicolaus Laurentii",ca 1600,https://libris.kb.se/zw9cg3ph4vtp351#it,Arken_only
3756,,,"Burholm, Annika",burholm-annika,"Burholm, Annika",1939-2014,https://libris.kb.se/wt79b76f51zfxqd#it,Arken_only
3758,,,"Burén, Carl Gustaf","Burén,-Carl-Gustaf","Burén, Carl Gustaf",1834-1881,ediffah:kb:781279:1348770418,Arken_only
3761,,,"Byström, Albin","Byström,-Albin","Byström, Albin",1882-1973,ediffah:kb:515759:1350413564,Arken_only
3763,,,"Byström, Hans","Byström,-Hans","Byström, Hans",1914-2005,https://libris.kb.se/31fjrkpm15d3fmv#it,Arken_only
3764,,,"Byström, Martha","Byström,-Martha","Byström, Martha",1885-1972,ediffah:kb:515759:1350413564,Arken_only
3765,,,"Byström, Tilly Margareta","Byström,-Tilly-Margareta","Byström, Tilly Margareta",1916-2002,ediffah:kb:515759:1350413564,Arken_only
3766,,,"Bäcklin, Edward","Bäcklin,-Edward","Bäcklin, Edward",1855-,ediffah:kb:573078:1138213842,Arken_only
3770,,,"Börje, Anders","Börje,-Anders","Börje, Anders",1925-2005,ediffah:kb:768966:1368443677,Arken_only
3779,,,Carlander (släkt),Carlander-släkt,Carlander (släkt),,https://libris.kb.se/r93b2cx32s33flg#it,Arken_only
3780,,,"Carlander, Anna Lisa","Carlander,-Anna-Lisa","Carlander, Anna Lisa",1877-1962,ediffah:kb:515759:1350413564,Arken_only
